Zip Code,Location,Population,Average Income
78730,"30.363632, -97.850355","4,885","$128,524.00"
78732,"30.382536, -97.894904","3,629","$103,951.00"
78739,"30.178839, -97.889064","8,643","$102,707.00"
78738,"30.327510, -97.989040","2,840","$102,295.00"
78733,"30.323857, -97.894860","8,716","$102,239.00"
78746,"30.296951, -97.811647","26,023","$100,571.00"
78726,"30.430488, -97.842530","6,480","$89,891.00"
78717,"30.488309, -97.764829","8,148","$87,290.00"
78737,"30.177041, -97.956661","7,100","$87,029.00"
78750,"30.413499, -97.802001","23,476","$78,428.00"
78735,"30.265993, -97.863894","9,671","$75,204.00"
78734,"30.376159, -97.946334","12,925","$74,052.00"
78749,"30.216168, -97.856006","28,497","$68,244.00"
78727,"30.428300, -97.718143","22,212","$62,648.00"
78731,"30.345211, -97.767455","24,059","$62,404.00"
78736,"30.250877, -97.968810","6,897","$62,294.00"
78759,"30.400789, -97.755969","40,547","$61,284.00"
78747,"30.122470, -97.746210","5,079","$60,861.00"
78729,"30.457246, -97.756419","24,561","$59,497.00"
78748,"30.159688, -97.823287","25,361","$57,710.00"
78703,"30.294204, -97.765114","19,585","$54,591.00"
78754,"30.349483, -97.640390","5,422","$51,810.00"
78728,"30.453764, -97.686695","17,298","$51,078.00"
78725,"30.228676, -97.594967","1,836","$47,076.00"
78757,"30.351934, -97.732827","21,415","$45,090.00"
78745,"30.206806, -97.797108","53,044","$43,458.00"
78758,"30.387634, -97.705310","42,820","$42,398.00"
78744,"30.177015, -97.725888","33,706","$38,256.00"
78753,"30.380366, -97.674764","44,210","$38,206.00"
78756,"30.322200, -97.740236","7,128","$36,978.00"
78724,"30.297099, -97.617767","15,428","$36,641.00"
78719,"30.184794, -97.682619","1,765","$36,480.00"
78722,"30.293272, -97.709068","6,365","$35,794.00"
78701,"30.271653, -97.741553","3,855","$35,757.00"
78704,"30.243128, -97.765874","43,249","$35,733.00"
78723,"30.305341, -97.683344","30,110","$34,242.00"
78752,"30.331288, -97.704660","18,030","$30,207.00"
78751,"30.310819, -97.722821","14,005","$29,779.00"
78742,"30.239436, -97.671420",625,"$28,281.00"
78721,"30.269811, -97.683126","10,124","$26,646.00"
78741,"30.229845, -97.715136","40,661","$25,369.00"
78702,"30.263909, -97.714495","22,534","$23,348.00"
78705,"30.293474, -97.738268","26,825","$14,740.00"
